album_id,album_name,release_date
5TXzXK8XclNSvQccVUiCf2,Si Me Tomo una Cerveza,2020-11-07
2b9q2TCzRLoVOi3BCilmFS,Pistola,2020-11-06
1PuH88Md0tzB8UrnBfboJA,Mis Manos,2021-03-04
3CHsVnC1c174aoAlDTyIUN,Confiesalo,2020-11-12
3NXbwVxHga0cmLdnRIDX64,Verte,2020-12-10
1PuH88Md0tzB8UrnBfboJA,Mis Manos,2021-03-04
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26
3Nle45IcWgxIkXQw8EtYq1,Ponte Pa' Mi,2020-11-20
4ht3ZwHsmWhrrR8LcKd62u,Para Mi Ex,2020-12-15
2yYl7Q3GOoBjznGy0Rsc2f,Dopamina,2021-04-09
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
5ZhZaBJaiJPoPre9hzZ75K,Te Mentiria,2021-02-20
77aeZo4yYPoMsnnRtPPpuk,No Te Enamores (Remix),2020-11-20
2gdXeh9icSTRQp71pxmTP6,Bésame,2020-10-09
7aS92ROK5rixV65VSRGPct,Chica Ideal,2020-10-16
69iuPQsXel3luOSDNF0q2Q,Enoc,2020-09-04
05XZWDj3tPhgwD3zQw43X7,Chico Estrella,2021-03-15
3xhACmNvvaKmvdslE1bevB,Polvo,2020-11-20
2svQMn9RrCglH2SbMIqlzU,Tinty Nasty,2021-03-09
3aZthZKHMbbleXcilISjha,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",2020-11-27
1rQpXDegLbNBpe0fshpeKa,Travesuras (Remix),2021-03-11
5CS8E6JVACItYto4OOJoPW,KG0516,2021-03-26
3gLXoSKX6H6l1ulUYZTYvz,Déjà Vu,2021-02-05
62qqk2oK0GGO0AwWqUIqrJ,PROBLEMA,2021-02-26
2hdIFvSU7heSbsco9Mssbu,No Toque Mi Naik,2021-03-24
5F7rUv9XZPAnNfeKCYkqZS,Mi Niña,2020-09-23
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27
0p2yf6DucEgvj8Uk8KXJJv,PAPI JUANCHO,2020-08-21
2g1zRrhhMX2cnyoP8HvgH7,TURRA,2021-03-18
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
7xdPNbwpkvpVSllF4CRcyT,Malianteo 420,2020-12-05
1R0ocprmeDu8ZkZn29xYFx,La Tóxica,2020-07-24
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
0SVzFcpsByITKgURaxXdsV,RAPSTAR,2021-04-09
0KTj6k94XZh0c6IEMfxeWV,Dreamland (+ Bonus Levels),2020-08-06
3lwHyR4joA1xB7Nun21EP6,deja vu,2021-04-01
57UjGWNfxfsBCykDm73XBK,Astronaut In The Ocean,2019-06-07
3YjfdLdpQcVI72uKhooZst,F*CK LOVE (SAVAGE),2020-11-06
1OnzqJTL9bwe4kvaLxRYxt,Kiss Me More (feat. SZA),2021-04-09
66FPnVL9G4CMKy3wvaGTcr,drivers license,2021-01-08
2adSO4KU3FDjeM1PXCRDZm,The Business,2020-09-16
1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,2020-03-27
39qsmsNRXjVaFqTZj9af0j,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
7dfPqXck6BB9wpThrVYBss,Leave The Door Open,2021-03-05
7p0HJKqXo2WpApHFp1iDcI,Cover Me In Sunshine,2021-02-12
3MEKpJ7wSSp6Z661ThjrUJ,Destined 2 Win,2021-04-02
3SdFuYwyWoq7kuaHdTDcyD,Goosebumps (Remix),2021-01-15
0Fe4Uj7GkgA1uDGGk8s92C,Up (Instrumental),2021-02-04
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
7F9yYqHRtIZnEGF2tANI4b,Your Love (9PM),2021-01-15
270o30h7cAlEhBnbuSpFZq,El Dorado,2021-03-26
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09
2M0nxA3m2sZ5DyDzCdzScf,The Thrill,2020-11-11
3jDDMndpwWL3yDcDQcxk7R,F*CK LOVE (SAVAGE),2020-11-04
1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,2019-11-07
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
02ZsXShyE1HUqQceWLONcJ,Body,2021-03-25
5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17
26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,2020-09-18
5glfCPECXSHzidU6exW8wO,Head & Heart (feat. MNEK),2020-07-03
781cKhbTPwLnPmo9BALQl7,Good Days,2020-12-25
15sy3XQFShOFiDpKoxByyA,Paradise,2020-10-30
4jGaPN2gEpKciN02ZKRShT,Beautiful Mistakes (feat. Megan Thee Stallion),2021-03-03
7jRjPcWQMYGtD6gPBDZiAq,Fly Away,2020-11-13
0JeyP8r2hBxYIoxXv11XiX,Future Nostalgia (The Moonlight Edition),2021-02-11
1y2AzG31F4CuCKQ1rpIzaI,OK ORCHESTRA,2021-03-26
4fEgAL4ge9hHhxVDCUZbeF,Small Town Boy (Track By Track),2020-11-12
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
36tML2tWjDrbLW4FgrX17U,BED,2021-02-26
7xV2TzoaVc0ycW7fwBwAml,Fine Line,2019-12-13
0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe),1977-02-04
1RWiRfdNZKDe8VXzzf2VEc,you broke me first,2020-04-17
39xhYyNNDatQtgKw2KdXMz,THE GOAT,2020-05-15
2vGU0DOcfsDee0euvhl1iZ,B4 The Storm,2020-08-28
2ogiazbrNEx0kQHGl5ZBTQ,WAP (feat. Megan Thee Stallion),2020-08-07
7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,2020-07-03
3XsdVkuj3zMVHPRvodOgeE,Dancing With The Devil…The Art of Starting Over (Expanded Edition),2021-04-01
0VzqGKZQDQLSse6W0hgABW,What Other People Say,2021-02-04
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
1zEBi4O4AaY5M55dUcUp3z,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),2021-01-21
57UjGWNfxfsBCykDm73XBK,Astronaut In The Ocean,2019-06-07
1spjrywhvUe95xR7TY3ukN,Leere Hände (feat. Sido & Samra),2021-04-08
7p0HJKqXo2WpApHFp1iDcI,Cover Me In Sunshine,2021-02-12
29usCRl97IbEQACNshGC5A,KIDS FROM THE BLOCK,2021-04-08
6UrYYz1NtrHW8GDQz0QccS,Frag mich nicht,2021-03-26
39qsmsNRXjVaFqTZj9af0j,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15
0SVzFcpsByITKgURaxXdsV,RAPSTAR,2021-04-09
66FPnVL9G4CMKy3wvaGTcr,drivers license,2021-01-08
2adSO4KU3FDjeM1PXCRDZm,The Business,2020-09-16
3YjfdLdpQcVI72uKhooZst,F*CK LOVE (SAVAGE),2020-11-06
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
7F9yYqHRtIZnEGF2tANI4b,Your Love (9PM),2021-01-15
3KAtEV9jbwMKd1BPbN4XfV,100 Pro,2021-02-26
6UkcKpsOgl3cHt90Ewypvm,Ohne Dich,2021-01-14
5boy0Dm6JWz7YP8yIWdiyg,Girls Like Us,2021-01-12
6YMSXPIHkA2jPIlFHuejXW,All My Demons Greeting Me As A Friend (Deluxe),2016-03-11
0i72GjB523RgrjK8HUa61B,Wasted Love (feat. Lagique),2021-01-08
4fEgAL4ge9hHhxVDCUZbeF,Small Town Boy (Track By Track),2020-11-12
270o30h7cAlEhBnbuSpFZq,El Dorado,2021-03-26
3lwHyR4joA1xB7Nun21EP6,deja vu,2021-04-01
3qzXinrMHSBhrsKBcwnLLR,Hy Brasil,2020-11-20
